ID	Description	Ontology ID	Ontology Label	Notes	Synonym needed?	New term request	Parent	Parent ID
1	MYELOPROLIFERATIVE NEOPLASMS							
2	MYELODYSPLASTIC SYNDROMES							
3	"MYELOID AND LYMPHOID NEOPLASMS WITH EOSINOPHILIA AND ABNORMALITIES OF PDGFRA, PDGFRB OR FGFR1"							
4	MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS							
5	ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS							
6	ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE							
7	PRECURSOR LYMPHOID NEOPLASMS							
8	MATURE B-CELL NEOPLASMS							
9	MATURE T-CELL AND NK-CELL NEOPLASMS							
10	HODGKIN LYMPHOMA							
11	HISTIOCYTIC AND DENDRITIC CELL NEOPLASMS							
12	POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDERS (PTLD)							
13	Adenocarcinoma							
14	Adenoid cystic carcinoma							
15	Adenoma							
16	"Adenoma, follicular"							
18	Adenosquamous carcinoma							
20	Angiosarcoma							
21	Astrocytoma							
22	Astrocytoma/Oligodendroglioma							
41	"Carcinoma, NOS"							
49	Carcinosarcoma							
50	Cell line							
51	Chondrosarcoma							
52	Chordoma							
56	Dendritic cell sarcoma							
58	Desmoplastic small round cell tumour							
61	Endometrial stromal sarcoma							
62	Ependymoma							
63	Essential thrombocytosis							
64	Extraskeletal chondromyxoid sarcoma							
65	Fibromatosis							
66	Fibrosarcoma							
69	Giant cell tumor of bone							
70	GIST							
72	GIST - familial							
73	GIST - germline DNA							
74	GIST - pediatric w Carney's Triad							
75	GIST - NF1							
76	GIST - pediatric							
77	Glioblastoma							
78	"Glioma, NOS"							
81	Hepatoblastoma							
82	Hepatocellular carcinoma							
85	Hurthle cell carcinoma							
86	Hypereosinophilic syndrome							
89	Inflammatory myofibroblastic tumor							
90	Intimal sarcoma							
92	Langerhans histiocytosis							
94	Leiomyosarcoma							
96	Leydig cell tumor							
97	Liposarcoma							
98	Liposarcoma - dedifferentiated							
99	Liposarcoma - well differentiated							
109	Malignant mesothelioma							
110	Malignant mixed germ cell tumor							
111	Malignant peripheral nerve sheath tumor							
113	Mastocytosis							
114	Mastocytosis & eosinophilia							
115	Mastocytosis / MPD							
116	Medulloblastoma							
117	Melanoma - acral							
118	Melanoma - cell line							
119	Melanoma - conjunctival							
120	Melanoma - mucosal							
121	Melanoma - ocular							
122	Melanoma - spinal							
123	"Melanoma, NOS"							
124	Meningioma							
125	Merkel cell carcinoma							
136	Normal tissue							
137	Oligodendroglioma							
138	Oncocytoma							
139	Osteoblastoma							
140	Osteosarcoma							
142	Paraganglioma							
143	Pheochromocytoma							
144	Phyllodes tumor							
146	Primitive neuroectodermal tumor							
148	Pulmonary blastoma							
149	"Rhabdomyosarcoma, alveolar"							
150	"Rhabdomyosarcoma, embryonal"							
151	"Rhabdomyosarcoma, NOS"							
152	"Sarcoma, NOS"							
153	Schwannoma							
154	Seminoma/dysgerminoma							
155	Sex cord stromal tumor							
156	Sinonasal undifferentiated carcinoma							
157	Solitary fibrous tumor							
159	Synovial sarcoma							
161	Thymic carcinoma							
162	Thymoma							
164	Nephroblastoma (Wilms)							
165	Normal matched tissue							
170	Cholangiocarcinoma							
173	Mesenchymal chondrosarcoma							
175	Glomus tumor							
176	Infantile hemangioma							
178	"Sarcoma, clear cell"							
179	"Adenocarcinoma, mucinous"							
180	"Sarcoma, pleomorphic"							
183	Thrombocytopenia							
184	Aplastic anemia							
185	Pancytopenia							
186	"Malignant neoplasm, NOS"							
187	Anaplastic carcinoma							
190	Acinic cell carcinoma							
191	Basal cell carcinoma							
192	Chromophobe carcinoma							
193	Clear cell carcinoma							
194	"Ductal carcinoma, invasive"							
195	Endometrioid carcinoma							
196	Follicular carcinoma							
197	Insular carcinoma							
198	Large cell neuroendocrine carcinoma							
199	"Lobular carcinoma, invasive"							
200	Medullary carcinoma							
201	Mucoepidermoid carcinoma							
202	"Neuroendocrine carcinoma, high grade"							
203	"Serous carcinoma, high grade"							
204	Papillary carcinoma							
205	"Serous carcinoma, low grade"							
206	Small cell carcinoma							
207	Squamous cell carcinoma							
208	Urothelial carcinoma							
209	Olfactory neuroblastoma							
210	Alveolar soft part sarcoma							
211	"Neuroendocrine carcinoma, well differentiated"							
212	Hemangioblastoma							
213	Mesentery							
214	Oligoastrocytoma							
215	Granulosa cell tumor							
216	Sacomatoid carcinoma							
217	Nasopharyngeal carcinoma							
218	Hilar cell tumor							
219	MYELOMA							
220	Follicular dendritic cell sarcoma							
221	Digital papillary adenocarcinoma							
222	ACUTE LYMPHOCYTIC LEUKEMIA							
223	r/o MDS?							
224	myeloid sarcoma							
225	Adrenal cortical carcinoma							
226	Esthesioneuroblastoma							
227	rule out MDS/MPN							
228	MRD after AML treatment							
229	Paroxysmal Nocturnal Hemoglobinuria							
230	"Lymphoma, diffuse large B-cell"							
231	r/o MyeloProlif Neoplasm							
232	AML relapse							
233	Secretory carcinoma							
234	"Lymphoma, Follicular"							
235	chronic myeloid leukemia (CML)							
236	atypical CML (MPN)							
237	Ameloblastic carcinoma							
238	juvenile myelomonocytic leukemia							
239	MRD after ALL Rx							
240	r/o lymphoma?							
241	MRD s/p MDS Rx							
242	"T-CELL LYMPHOMA, PERIPHERAL"							
243	"B-CELL LYMPHOMA, LOW GRADE"							
244	"Neoplasm, poorly differentiated"							
245	Dermatofibrosarcoma protuberans							
246	Ductal carcinoma							
247	Glioma							
248	"Leukemia, NOS"							
249	Lymphangioleiomyomatosis							
250	"Lymphoma, NOS"							
251	Myelofibrosis							
252	Neuroblastoma							
253	NUT midline carcinoma							
254	Papillary thyroid carcinoma							
255	PEComa							
256	Retinoblastoma							
260	Ganglioglioma							
