ID	Description	Ontology/database ID	Ontology Label	Notes	Synonym needed?	New term request	Parent	Parent ID
1	5FU-based adjuvant therapy	DB00544	Fluorouracil					
2	ado-trastuzumab emtansine	DB05773	ado-trastuzumab emtansine					
3	afatinib	CHEBI:61390	afatinib					
4	afatinib + cetuximab	DB08916; DB00002	Afatinib; Cetuximab					
5	AKT inhibitors			"there are specific Akt inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound?term=akt+inihibitor"				
6	ALK inhibitors			"there are specific ALK inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=ALK+inhibitor"				
7	ALK inhibitors + IGF1R inhibitors			there is CHEBI:75252: insulin-like growth factor receptor 1 antagonist				
8	allosteric AKT inhibitors							
9	anthracyclines	CHEBI:48120	anthracycline					
10	anti-EGFR mAbs			nothing in Uniprot				
11	anti-EGFR mAbs + anti-HER2 mAbs			nothing in Uniprot				
12	anti-EGFR mAbs + MEK inhibitors	CHEBI:79091	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor	do not have an ID for the anti-EGFR mAbs				
13	anti-estrogens			nothing in Uniprot				
14	anti-HER3 mAbs			nothing in Uniprot				
15	anti-tubulin agents			nothing in Uniprot				
16	AR antagonist			do not know what AR stands for				
17	ARN-509	PubChem CID:24872560	ARN-509					
18	aromatase inhhibitors	CHEBI:50790	EC 1.14.14.14 (aromatase) inhibitor					
19	aspirin in adjuvant setting	DB00945	Acetylsalicylic acid					
20	ATP-competitive AKT inhibitors							
21	ATRA	DB00755	Tretinoin					
22	ATRA + arsenic trioxide	DB00755; DB01169	Tretinoin; Arsenic trioxide					
23	AURK inhibitors							
24	AURK inhibitors + BCR-ABL1 inhibitors			"there are specific BCR-ABL1 inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=BCR-ABL1+inhibitor"				
25	BCL2 inhibitors							
26	BET inhibitors							
27	BET inhibitors in LKB1 wt							
28	bevacizumab	DB00112	Bevacizumab					
29	bicalutamide	DB01128	Bicalutamide					
30	bortezomib	DB00188	Bortezomib					
31	bosutinib	DB06616	Bosutinib					
32	BRAF + MEK inhibitors							
33	BRAF inhibitors	PubChem CID:53438230; CHEBI:79091	BRAF inhibitor; EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor					
34	BRAF inhibitors + CDK2/4 inhibitors	PubChem CID:53438230; n/a	BRAF inhibitor; n/a					
35	BRAF inhibitors + EGFR inhibitors	PubChem CID:53438230; PubChem CID:9549299	BRAF inhibitor; EGFR Inhibitor					
36	BRAF inhibitors + HSP90 inhibitors	PubChem CID:53438230; CHEBI:63962	BRAF inhibitor; Hsp90 inhibitor					
37	BRAF inhibitors + MEK inhibitors	PubChem CID:53438230; CHEBI:79091	BRAF inhibitor; EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor					
38	BRAF inhibitors + PI3K pathway inhibitors	PubChem CID:53438230; n/a	BRAF inhibitor; n/a	"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
39	BRAF inhibitors +/- MEK inhibitors	PubChem CID:53438230; CHEBI:79091	BRAF inhibitor; EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor	this is the same as #37				
40	BRAF inhibitors in BRAF mutant tumor							
41	BRAF inhibitors in BRAF mutant tumors							
42	cabozantinib	DB08875	Cabozantinib					
43	CDK2 inhibitors							
44	CDK2/4 inhibitors	PubChem CID:16760362	cdk2/5 inhibitor				PubChem CID: 10366136	
45	CDK4/6 inhibitors							
46	ceritinib	CHEBI:78432	ceritinib					
47	cetuximab	DB00002 	Cetuximab					
48	cetuximab plus sirolimus	DB00002; DB00877	Cetuximab; Sirolimus					
49	cisplatin	DB00515	Cisplatin					
50	crenolanib	PubChem CID:10366136	Crenolanib					
51	crizotinib	DB08865	Crizotinib					
52	dabrafenib	DB08912	Dabrafenib					
53	dabrafenib + trametinib	DB08912; DB08911	Dabrafenib; Trametinib					
54	dasatinib	DB01254	Dasatinib					
55	dasatinib + erlotinib	DB01254; DB00530 	Dasatinib; Erlotinib					
56	daunorubicin	DB00694	Daunorubicin					
57	DNA-PK inhibitors			"there are specific DNA-PK inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=DNA-PK+inhibitors"				
58	DOT1L inhibitors							
59	dovitinib	DB05928	CHIR-258					
60	EGFR TKIs			"is this the same as: PubChem CID:9549299, EGFR Inhibitor?"				
61	EGFR TKIs + MEK inhibitors	n/a; CHEBI:79091	n/a; EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor					
62	enzalutamide	DB08899	Enzalutamide					
63	EPHA3 inhibitors							
64	ERBB2 TKIs							
65	ERK inhibitors	PubChem CID:16760416	Erk Inhibitor					
66	erlotinib	DB00530	Erlotinib					
67	everolimus	DB01590	Everolimus					
68	EZH2 inhibitor	PubChem CID:68210102	GSK126					
69	FAK inhibitors							
70	FGFR inhibitors							
71	FLT3 inhibitors							
72	flutamide	DB00499  	Flutamide					
73	Gamma secretase inhibitors							
74	Gamma secretase inhibitors + CDK4 inhibitors	n/a; PubChem CID:5330797	n/a; Cdk4 Inhibitor					
75	Gamma secretase inhibitors + mTOR inhibitors							
76	gefitinib	DB00317	Gefitinib					
77	gemcitabine + MEK inhibitors	CHEBI:175901; CHEBI:79091	gemcitabine; EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor					
78	HDAC inhibitors	PubChem CID:10460379	(S)-6-acetamido-2-(2-((S)-2-acetamido-4-methylpentanamido)acetamido)-N-(4-methyl-2-oxo-2H-chromen-7-yl)hexanamide; 660847-06-3					
79	HSP90 inhibitors	CHEBI:63962	Hsp90 inhibitor					
80	ibrutinib	CHEBI:76612	ibrutinib					
81	IDH inhibitors							
82	IGF1R inhibitors	CAS 477-47-4	IGF-1R Inhibitor					
83	imatinib	DB00619 	Imatinib					
84	irinotecan plus CHK1/2 inhibitor in ATM deficient tumor							
85	irreversible EGFR TKIs							
86	JAK inhibitors	PubChem CID:5494425	Pyridone 6					
87	lapatinib	DB01259	Lapatinib					
88	lestaurtinib	PubChem CID:126565	Lestaurtinib					
89	liposomal doxorubicin							
90	MDM2 inhibitors							
91	MEK inhibitors	CHEBI:79091	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor					
92	MEK inhibitors + BCL-XL inhibitors	CHEBI:79091; n/a	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; n/a					
93	MEK inhibitors + CDK4/6 inhibitors	CHEBI:79091; n/a	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; n/a					
94	MEK inhibitors + docetaxel in KRAS mutant	CHEBI:79091; n/a	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; n/a					
95	MEK inhibitors + IGF1R inhibitors	CHEBI:79091; CAS 477-47-4	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; IGF-1R Inhibitor					
96	MEK inhibitors + PI3K pathway inhibitors	CHEBI:79091; n/a	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; n/a	"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
97	MEK inhibitors +/- mTOR inhibitors	CHEBI:79091; CHEBI:68481	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; mTOR inhibitor					
98	MEK inhibitors +/- PI3K pathway inhibitors	CHEBI:79091; n/a	EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor; n/a	"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
99	MET inhibitors							
100	midostaurin	CHEBI:63452	midostaurin					
101	Mitomycin C	DB00305	Mitomycin					
102	mTOR inhibitors	CHEBI:68481	mTOR inhibitor					
103	mTOR inhibitors + BH3 mimetics							
104	mTOR inhibitors + HSP90 inhibitors	CHEBI:68481; CHEBI:63962	mTOR inhibitor; Hsp90 inhibitor					
105	neratinib	CHEBI:61397	neratinib					
106	neratinib + temsirolimus	CHEBI:61397; CHEBI:79699	neratinib; Temsirolimus					
107	nilotinib	DB04868	Nilotinib					
108	PAK inhibitors							
109	panitumumab	DB01269	Panitumumab					
110	PARP inhibitors	PubChem CID:78243706	"ABT-888, PARP Inhibitor"					
111	PARP inhibitors + chemotherapy	PubChem CID:78243706; n/a	"ABT-888, PARP Inhibitor; n/a"					
112	pazopanib	PubChem CID:10113978	Pazopanib					
113	PDGFR inhibitors							
114	PDL1 inhibitors							
115	pertuzumab	DB06366	Pertuzumab					
116	phenformin	DB00914	Phenformin					
117	PI3K alpha inhibitors							
118	PI3K beta inhibitors							
119	PI3K pathway inhibitors			"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
120	PI3K pathway inhibitors + AR antagonists			"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
121	PI3K pathway inhibitors + MEK inhibitor			"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
122	PI3K pathway inhibitors + MEK inhibitors			"there are specific PI3K inhibitors in pubchem, but nothing general: https://www.ncbi.nlm.nih.gov/pccompound/?term=PI3K+inhibitor"				
123	PKC inhibitor	CHEBI:37700	EC 2.7.11.13 (protein kinase C) inhibitor					
124	PKC412	CHEBI:63452	midostaurin					
125	platinum agents	CHEBI:33364	platinum	not sure if this is correct?				
126	ponatinib	DB08901	Ponatinib					
127	proteosome inhibitors							
128	quizartinib	PubChem CID:24889392	Quizartinib					
129	rapamycin	DB00877	Sirolimus					
130	regorafenib	DB08896	Regorafenib					
131	RET inhibitors							
132	ruxolitinib	DB08877	Ruxolitinib					
133	selumetinib	PubChem CID:10127622	Selumetinib					
134	sirolimus	DB00877 	Sirolimus					
135	sorafenib	DB00398 	Sorafenib					
