ID	Description	diagnosesID	Ontology ID	Ontology Label	Notes	Synonym needed?	New term request	Parent	Parent ID
1	"Chronic myelogenous leukaemia, BCR-ABL1 positive"	1			"OMIM:608232 Leukemia, Myelogenous, Chronic, BCR-ABL Positive is in the omimcluster file but not Mondo"	y	"Chronic myelogenous leukaemia, BCR-ABL1 positive"	chronic myeloid leukemia	OMIM_608232
2	Chronic neutrophilic leukaemia	1	Orphanet_86829	Chronic neutrophilic leukemia		y			
3	Polycythaemia vera	1	OMIM_263300	polycythemia vera					
4	Primary myelofibrosis	1	OMIM:254450	Primary Myelofibrosis					
5	Essential thrombocythaemia	1	DOID_2224	hemorrhagic thrombocythemia					
6	"Chronic eosinophilic leukaemia, NOS"	1	Orphanet_168940	Chronic eosinophilic leukemia	what does NOS mean? Maybe this isn't the same	y			
7	Mastocytosis	1	DOID_350	mastocytosis	another class with this label: MESH_D008415; should this be an equivalence mapping?				
8	Cutaneous mastocytosis	1	DOID_3663	cutaneous mastocytosis					
9	Systemic mastocytosis	1	DOID_349	systemic mastocytosis					
10	Mast cell leukaemia	1	DOID_9254	mast-cell leukemia		y			
11	Mast cell sarcoma	1	DOID_355	mast-cell sarcoma		y			
12	Extracutaneous mastocytoma	1	DOID_4659	extracutaneous mastocytoma					
13	"Myeloproliferative neoplasm, unclassifiable"	1	DOID_4960	bone marrow cancer	myeloproliferative neoplasm is a synonym. Is this the same?				
14	Refractory cytopenia with unilineage dysplasia	2						myelodysplastic syndrome	DOID_0050908
15	Refractory anaemia	2	Orphanet_98826	Refractory anemia		y			
16	Refractory neutropenia	2					Refractory neutropenia	neutropenia	DOID_1227
17	Refractory thrombocytopenia	2					Refractory thrombocytopenia	thrombocytopenia	DOID_1588
18	Refractory anaemia with ring sideroblasts	2						anemia	DOID_2355
19	Refractory cytopenia with multilineage dysplasia	2	Orphanet_86836	Refractory cytopenia with multilineage dysplasia					
20	Refractory anaemia with excess blasts	2	Orphanet_86839	Refractory anemia with excess blasts		y			
21	Myelodysplastic syndrome associated with isolated del(5q)	2	Orphanet_86841	Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality					
22	"Myelodysplastic syndrome, unclassifiable"	2					"Myelodysplastic syndrome, unclassifiable"	myelodysplastic syndrome	DOID_0050908
23	Childhood myelodysplastic syndrome	2					Childhood myelodysplastic syndrome	myelodysplastic syndrome	DOID_0050908
24	Refractory cytopenia of childhood	2					Refractory cytopenia of childhood	myelodysplastic syndrome	DOID_0050908
25	Myeloid and lymphoid neoplasms with PDGFRA rearrangement	3					Myeloid and lymphoid neoplasms with PDGFRA rearrangement	Tumor of hematopoietic and lymphoid tissues	Orphanet_68347
26	Myeloid neoplasms with PDGFRB rearrangement	3					Myeloid neoplasms with PDGFRB rearrangement	Myeloid hemopathy	Orphanet_171895
27	Myeloid and lymphoid neoplasms with FGFR1 abnormalities	3					Myeloid and lymphoid neoplasms with FGFR1 abnormalities	Tumor of hematopoietic and lymphoid tissues	Orphanet_68347
28	Chronic myelomonocytic leukaemia	4	Orphanet_98823	Chronic myelomonocytic leukemia		y			
29	"Atypical chronic myeloid leukaemia, BCR-ABL1 negative"	4	MESH_D054438	"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"	"this is BCR-ABL, is this the same as BCR-ABL1?"	y			
30	Juvenile myelomonocytic leukaemia	4	OMIM_607785	juvenile myelomonocytic leukemia		y			
31	"Myelodysplastic/myeloproliferative neoplasm, unclassifiable"	4					"Myelodysplastic/myeloproliferative neoplasm, unclassifiable"	myelodysplastic myeloproliferative cancer	DOID_4972
32	Refractory anaemia with ring sideroblasts associated with marked thrombocytosis	4			"Note, the hierarchy for 'refractory anemia' seems wrong"		Refractory anaemia with ring sideroblasts associated with marked thrombocytosis	Refractory anemia	Orphanet_98826
33	Myeloid sarcoma	4	DOID_8683	myeloid sarcoma					
34	AML with recurrent genetic abnormalities	5	Orphanet_98277	Acute myeloid leukemia with recurrent genetic anomaly		y			
35	AML with t(8;21)(q22;q22); RUNX1-RUNX1T1	5	Orphanet_102724	'Acute myeloid leukemia with t(8;21)(q22;q22) translocation'	not sure if this is the same thing	y			
36	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11	5					AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11	Acute myeloid leukemia with recurrent genetic anomaly	Orphanet_98277
